"datetime","pm_dtX","sample_dtX","pm_dtY","sample_dtY","pm_dtX_uncorrected","pm_dtY_uncorrected"
2017-02-02 10:53:17,0,"MANUAL_026",NA,NA,0,NA
2017-02-02 10:53:18,0,"MANUAL_026",NA,NA,0,NA
2017-02-02 10:53:19,0,"MANUAL_026",NA,NA,0,NA
2017-02-02 10:53:20,0,"MANUAL_026",NA,NA,0,NA
2017-02-02 10:53:21,0,"MANUAL_026",NA,NA,0,NA
2017-02-02 10:53:22,0,"MANUAL_026",NA,NA,0,NA
2017-02-02 10:53:23,0,"MANUAL_026",NA,NA,0,NA
2017-02-02 10:53:24,0,"MANUAL_026",NA,NA,0,NA
2017-02-02 10:53:25,0,"MANUAL_026",NA,NA,0,NA
2017-02-02 10:53:26,0,"MANUAL_026",NA,NA,0,NA
2017-02-02 10:53:27,0,"MANUAL_026",NA,NA,0,NA
2017-02-02 10:53:28,0,"MANUAL_026",NA,NA,0,NA
2017-02-02 10:53:29,0,"MANUAL_026",NA,NA,0,NA
2017-02-02 10:53:30,0,"MANUAL_026",NA,NA,0,NA
2017-02-02 10:53:31,0,"MANUAL_026",NA,NA,0,NA
2017-02-02 10:53:32,0,"MANUAL_026",NA,NA,0,NA
2017-02-02 10:53:33,0,"MANUAL_026",NA,NA,0,NA
2017-02-02 10:53:34,0,"MANUAL_026",NA,NA,0,NA
2017-02-02 10:53:35,0,"MANUAL_026",NA,NA,0,NA
2017-02-02 10:53:36,0,"MANUAL_026",NA,NA,0,NA
2017-02-02 10:53:37,0,"MANUAL_026",NA,NA,0,NA
2017-02-02 10:53:38,0,"MANUAL_026",NA,NA,0,NA
2017-02-02 10:53:39,0,"MANUAL_026",NA,NA,0,NA
2017-02-02 10:53:40,0,"MANUAL_026",NA,NA,0,NA
2017-02-02 10:53:41,0,"MANUAL_026",NA,NA,0,NA
2017-02-02 10:53:42,0,"MANUAL_026",NA,NA,0,NA
2017-02-02 10:53:43,0,"MANUAL_026",NA,NA,0,NA
2017-02-02 10:53:44,0,"MANUAL_026",NA,NA,0,NA
2017-02-02 10:53:45,0,"MANUAL_026",NA,NA,0,NA
2017-02-02 10:53:46,0,"MANUAL_026",NA,NA,0,NA
2017-02-02 13:00:48,0,"MANUAL_027",NA,NA,0,NA
2017-02-02 13:00:49,0,"MANUAL_027",NA,NA,0,NA
2017-02-02 13:00:50,0,"MANUAL_027",NA,NA,0,NA
2017-02-02 13:01:44,0,"MANUAL_028",0.0106976744186047,"MANUAL_005",0,0.046
2017-02-02 13:01:45,0,"MANUAL_028",0.00162790697674419,"MANUAL_005",0,0.007
2017-02-02 13:01:46,0,"MANUAL_028",0.00116279069767442,"MANUAL_005",0,0.005
2017-02-02 13:01:47,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:01:48,0,"MANUAL_028",0.000232558139534884,"MANUAL_005",0,0.001
2017-02-02 13:01:49,0,"MANUAL_028",0.000232558139534884,"MANUAL_005",0,0.001
2017-02-02 13:01:50,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:01:51,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:01:52,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:01:53,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:01:54,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:01:55,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:01:56,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:01:57,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:01:58,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:01:59,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:02:00,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:02:01,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:02:02,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:02:03,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:02:04,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:02:05,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:02:06,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:02:07,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:02:08,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:02:09,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:02:10,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:02:11,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:02:12,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:02:13,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:02:14,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:02:15,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:02:16,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:02:17,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:02:18,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:02:19,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:02:20,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:02:21,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:02:22,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:02:23,0.000204081632653061,"MANUAL_028",0,"MANUAL_005",0.001,0
2017-02-02 13:02:24,0.000204081632653061,"MANUAL_028",0,"MANUAL_005",0.001,0
2017-02-02 13:02:25,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:02:26,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:02:27,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:02:28,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:02:29,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:02:30,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:02:31,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:02:32,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:02:33,0.000408163265306122,"MANUAL_028",0,"MANUAL_005",0.002,0
2017-02-02 13:02:34,0.000612244897959184,"MANUAL_028",0,"MANUAL_005",0.003,0
2017-02-02 13:02:35,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:02:36,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:02:37,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:02:38,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:02:39,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:02:40,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:02:41,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:02:42,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:02:43,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:02:44,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:02:45,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:02:46,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:02:47,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:02:48,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:02:49,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:02:50,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:02:51,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:02:52,0,"MANUAL_028",0.000232558139534884,"MANUAL_005",0,0.001
2017-02-02 13:02:53,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:02:54,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:02:55,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:02:56,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:02:57,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:02:58,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:02:59,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:03:00,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:03:01,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:03:02,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:03:03,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:03:04,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:03:05,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:03:06,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:03:07,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:03:08,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:03:09,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:03:10,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:03:11,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:03:12,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:03:13,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:03:14,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:03:15,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:03:16,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:03:17,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:03:18,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:03:19,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:03:20,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:03:21,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:03:22,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:03:23,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:03:24,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:03:25,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:03:26,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:03:27,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:03:28,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:03:29,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:03:30,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:03:31,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:03:32,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:03:33,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:03:34,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:03:35,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:03:36,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:03:37,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:03:38,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:03:39,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:03:40,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:03:41,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:03:42,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:03:43,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:03:44,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:03:45,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:03:46,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:03:47,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:03:48,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:03:49,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:03:50,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:03:51,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:03:52,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:03:53,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:03:54,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:03:55,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:03:56,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:03:57,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:03:58,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:03:59,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:04:00,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:04:01,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:04:02,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:04:03,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:04:04,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:04:05,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:04:06,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:04:07,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:04:08,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:04:09,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:04:10,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:04:11,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:04:12,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:04:13,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:04:14,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:04:15,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:04:16,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:04:17,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:04:18,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:04:19,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:04:20,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:04:21,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:04:22,0,"MANUAL_028",0.000232558139534884,"MANUAL_005",0,0.001
2017-02-02 13:04:23,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:04:24,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:04:25,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:04:26,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:04:27,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:04:28,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:04:29,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:04:30,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:04:31,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:04:32,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:04:33,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:04:34,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:04:35,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:04:36,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:04:37,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:04:38,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:04:39,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:04:40,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:04:41,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:04:42,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:04:43,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:04:44,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:04:45,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:04:46,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:04:47,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:04:48,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:04:49,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:04:50,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:04:51,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:04:52,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:04:53,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:04:54,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:04:55,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:04:56,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:04:57,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:04:58,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:04:59,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:05:00,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:05:01,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:05:02,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:05:03,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:05:04,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:05:05,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:05:06,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:05:07,0.000408163265306122,"MANUAL_028",0,"MANUAL_005",0.002,0
2017-02-02 13:05:08,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:05:09,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:05:10,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:05:11,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:05:12,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:05:13,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:05:14,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:05:15,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:05:16,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:05:17,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:05:18,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:05:19,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:05:20,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:05:21,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:05:22,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:05:23,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:05:24,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:05:25,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:05:26,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:05:27,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:05:28,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:05:29,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:05:30,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:05:31,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:05:32,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:05:33,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:05:34,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:05:35,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:05:36,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:05:37,0.0740816326530612,"MANUAL_028",0,"MANUAL_005",0.363,0
2017-02-02 13:05:38,0.0771428571428571,"MANUAL_028",0,"MANUAL_005",0.378,0
2017-02-02 13:05:39,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:05:40,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:05:41,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:05:42,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:05:43,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:05:44,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:05:45,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:05:46,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:05:47,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:05:48,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:05:49,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:05:50,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:05:51,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:05:52,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:05:53,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:05:54,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:05:55,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:05:56,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:05:57,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:05:58,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:05:59,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:06:00,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:06:01,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:06:02,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:06:03,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:06:04,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:06:05,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:06:06,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:06:07,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:06:08,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:06:09,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:06:10,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:06:11,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:06:12,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:06:13,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:06:14,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:06:15,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:06:16,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:06:17,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:06:18,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:06:19,0,"MANUAL_028",0,"MANUAL_005",0,0
2017-02-02 13:06:20,0,"MANUAL_028",NA,NA,0,NA
2017-02-02 13:06:21,0,"MANUAL_028",NA,NA,0,NA
2017-02-02 13:17:07,0,"MANUAL_029",0,"MANUAL_006",0,0
2017-02-02 13:17:08,0,"MANUAL_029",0,"MANUAL_006",0,0
2017-02-02 13:17:09,0,"MANUAL_029",0,"MANUAL_006",0,0
2017-02-02 13:17:10,0,"MANUAL_029",0,"MANUAL_006",0,0
2017-02-02 13:17:11,0,"MANUAL_029",0,"MANUAL_006",0,0
2017-02-02 13:17:12,0,"MANUAL_029",0,"MANUAL_006",0,0
2017-02-02 13:17:13,0,"MANUAL_029",0,"MANUAL_006",0,0
2017-02-02 13:17:14,0,"MANUAL_029",0,"MANUAL_006",0,0
2017-02-02 13:17:15,0,"MANUAL_029",0,"MANUAL_006",0,0
2017-02-02 13:17:16,0,"MANUAL_029",0,"MANUAL_006",0,0
2017-02-02 13:17:17,0,"MANUAL_029",0,"MANUAL_006",0,0
2017-02-02 13:17:18,0,"MANUAL_029",0,"MANUAL_006",0,0
2017-02-02 13:17:19,0,"MANUAL_029",0,"MANUAL_006",0,0
2017-02-02 13:17:20,0,"MANUAL_029",0,"MANUAL_006",0,0
2017-02-02 13:17:21,0,"MANUAL_029",0,"MANUAL_006",0,0
2017-02-02 13:17:22,0,"MANUAL_029",0,"MANUAL_006",0,0
2017-02-02 13:17:23,0,"MANUAL_029",0,"MANUAL_006",0,0
2017-02-02 13:17:24,0,"MANUAL_029",0,"MANUAL_006",0,0
2017-02-02 13:17:25,0,"MANUAL_029",0,"MANUAL_006",0,0
2017-02-02 13:17:26,0,"MANUAL_029",0,"MANUAL_006",0,0
2017-02-02 13:17:27,0,"MANUAL_029",0,"MANUAL_006",0,0
2017-02-02 13:17:28,0,"MANUAL_029",0,"MANUAL_006",0,0
2017-02-02 13:17:29,0,"MANUAL_029",0,"MANUAL_006",0,0
2017-02-02 13:17:30,0,"MANUAL_029",0,"MANUAL_006",0,0
2017-02-02 13:17:31,0,"MANUAL_029",0,"MANUAL_006",0,0
2017-02-02 13:17:32,0,"MANUAL_029",0,"MANUAL_006",0,0
2017-02-02 13:17:33,0,"MANUAL_029",0,"MANUAL_006",0,0
2017-02-02 13:17:34,0,"MANUAL_029",0,"MANUAL_006",0,0
2017-02-02 13:17:35,0,"MANUAL_029",0,"MANUAL_006",0,0
2017-02-02 13:17:36,0,"MANUAL_029",0,"MANUAL_006",0,0
2017-02-02 13:17:37,0,"MANUAL_029",0,"MANUAL_006",0,0
2017-02-02 13:17:38,0,"MANUAL_029",0,"MANUAL_006",0,0
2017-02-02 13:17:39,0,"MANUAL_029",0,"MANUAL_006",0,0
2017-02-02 13:17:40,0,"MANUAL_029",0,"MANUAL_006",0,0
2017-02-02 13:17:41,0,"MANUAL_029",0,"MANUAL_006",0,0
2017-02-02 13:17:42,0,"MANUAL_029",0,"MANUAL_006",0,0
2017-02-02 13:17:43,0,"MANUAL_029",0,"MANUAL_006",0,0
2017-02-02 13:17:44,0,"MANUAL_029",0,"MANUAL_006",0,0
2017-02-02 13:17:45,0,"MANUAL_029",0,"MANUAL_006",0,0
2017-02-02 13:17:46,0,"MANUAL_029",0,"MANUAL_006",0,0
2017-02-02 13:17:47,0,"MANUAL_029",0,"MANUAL_006",0,0
2017-02-02 13:17:48,0,"MANUAL_029",0,"MANUAL_006",0,0
2017-02-02 13:17:49,0,"MANUAL_029",0,"MANUAL_006",0,0
2017-02-02 13:17:50,0,"MANUAL_029",0,"MANUAL_006",0,0
2017-02-02 13:17:51,0,"MANUAL_029",0,"MANUAL_006",0,0
2017-02-02 13:17:52,0,"MANUAL_029",0,"MANUAL_006",0,0
